date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-08-16,github.com,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17,github.com,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18,github.com,111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19,github.com,111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,github.com,117,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21,github.com,119,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-22,github.com,119,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23,github.com,127,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-24,github.com,128,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,github.com,134,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,github.com,137,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28,github.com,137,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-29,github.com,137,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30,github.com,137,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,github.com,118,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-01,github.com,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,github.com,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03,github.com,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04,github.com,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-05,github.com,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
