Celda vacía para el total en la columna Índice;Total;Celda vacía para el total del resumen en la columna Vistas;Celda vacía para el total del resumen en la columna Usuarios activos
;;98;9
1;2026061916;6;2
2;2026062610;4;2
3;2026071323;4;1
4;2026071421;4;1
5;2026081118;4;2
6;2026061511;3;2
7;2026061512;3;2
8;2026061610;3;2
9;2026070422;3;2
10;2026061815;2;1
11;2026062422;2;2
12;2026070421;2;1
13;2026071112;2;2
14;2026071115;2;1
15;2026071214;2;1
16;2026071217;2;1
17;2026072006;2;1
18;2026072316;2;1
19;2026072719;2;1
20;2026072818;2;1
21;2026072911;2;2
22;2026061613;1;0
23;2026061719;1;1
24;2026061722;1;1
25;2026062019;1;1
26;2026062200;1;1
27;2026062210;1;1
28;2026062218;1;1
29;2026062222;1;1
30;2026062421;1;1
31;2026062508;1;0
32;2026062900;1;1
33;2026062920;1;1
34;2026070303;1;1
35;2026071012;1;1
36;2026071218;1;1
37;2026071219;1;1
38;2026071220;1;1
39;2026071316;1;1
40;2026071411;1;1
41;2026071511;1;1
42;2026071612;1;1
43;2026071616;1;1
44;2026071712;1;1
45;2026072018;1;1
46;2026072115;1;1
47;2026072119;1;1
48;2026072219;1;1
49;2026072412;1;1
50;2026072813;1;1
51;2026072819;1;1
52;2026080119;1;1
53;2026080319;1;1
54;2026080413;1;1
55;2026080518;1;1
56;2026081105;1;0
57;2026081121;1;1
58;2026081216;1;1
59;2026081306;1;0
60;2026081317;1;1
61;2026081514;1;1
62;2026061518;0;1
63;2026061618;0;1
64;2026061901;0;1
65;2026061921;0;1
66;2026062012;0;1
67;2026062223;0;1
68;2026062312;0;1
69;2026062314;0;1
70;2026062316;0;1
71;2026062321;0;1
72;2026062423;0;1
73;2026071223;0;1
74;2026071400;0;1
75;2026071719;0;1
76;2026071920;0;1
77;2026071921;0;1
78;2026071922;0;1
79;2026072117;0;1
80;2026072815;0;1
81;2026072816;0;1
82;2026072919;0;1
